Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	6	6
OG0000001	7	7
OG0000002	6	6
OG0000003	5	5
OG0000004	6	6
OG0000005	5	5
OG0000006	9	9
OG0000007	4	4
OG0000008	6	6
OG0000009	4	4
OG0000010	8	8
OG0000011	3	3
OG0000012	3	3
OG0000013	3	3
OG0000014	4	4
OG0000015	4	4
OG0000016	3	3
OG0000017	4	4
OG0000018	3	3
OG0000019	3	3
OG0000020	3	3
OG0000021	3	3
OG0000022	3	3
OG0000023	2	2
OG0000024	2	2
OG0000025	2	2
OG0000026	2	2
OG0000027	2	2
OG0000028	2	2
OG0000029	2	2
OG0000030	2	2
OG0000031	5	5
OG0000032	2	2
OG0000033	2	2
OG0000034	3	3
OG0000035	2	2
OG0000036	3	3
OG0000037	3	3
OG0000038	2	2
OG0000039	2	2
OG0000040	2	2
OG0000041	2	2
OG0000042	3	3
OG0000043	2	2
OG0000044	2	2
OG0000045	2	2
OG0000046	2	2
OG0000047	2	2
OG0000048	2	2
OG0000049	2	2
OG0000050	4	4
OG0000051	2	2
OG0000052	2	2
OG0000053	3	3
OG0000054	2	2
OG0000055	2	2
OG0000056	2	2
OG0000057	2	2
OG0000058	2	2
OG0000059	1	1
OG0000060	2	2
OG0000061	1	1
OG0000062	1	1
OG0000063	1	1
OG0000064	1	1
OG0000065	1	1
OG0000066	1	1
OG0000067	1	1
OG0000068	1	1
OG0000069	1	1
OG0000070	1	1
OG0000071	1	1
OG0000072	1	1
OG0000073	1	1
OG0000074	1	1
OG0000075	1	1
OG0000076	1	1
OG0000077	1	1
OG0000078	1	1
OG0000079	1	1
OG0000080	1	1
OG0000081	1	1
OG0000082	1	1
OG0000083	1	1
OG0000084	1	1
OG0000085	1	1
OG0000086	1	1
OG0000087	1	1
OG0000088	1	1
OG0000089	1	1
OG0000090	1	1
OG0000091	1	1
OG0000092	1	1
OG0000093	1	1
OG0000094	1	1
OG0000095	2	2
OG0000096	1	1
OG0000097	1	1
OG0000098	1	1
OG0000099	1	1
OG0000100	1	1
OG0000101	1	1
OG0000102	1	1
OG0000103	1	1
OG0000104	1	1
OG0000105	1	1
OG0000106	1	1
OG0000107	1	1
OG0000108	2	2
OG0000109	1	1
OG0000110	2	2
OG0000111	1	1
OG0000112	1	1
OG0000113	1	1
OG0000114	1	1
OG0000115	1	1
OG0000116	1	1
OG0000117	1	1
OG0000118	1	1
OG0000119	1	1
OG0000120	1	1
OG0000121	1	1
OG0000122	1	1
OG0000123	1	1
OG0000124	2	2
OG0000125	1	1
OG0000126	1	1
OG0000127	1	1
OG0000128	1	1
OG0000129	2	2
OG0000130	1	1
OG0000131	1	1
OG0000132	1	1
OG0000133	1	1
OG0000134	1	1
OG0000135	1	1
OG0000136	1	1
OG0000137	1	1
OG0000138	1	1
OG0000139	1	1
OG0000140	2	2
OG0000141	1	1
OG0000142	1	1
OG0000143	2	2
OG0000144	1	1
OG0000145	1	1
OG0000146	1	1
OG0000147	2	2
OG0000148	1	1
OG0000149	1	1
OG0000150	1	1
OG0000151	1	1
OG0000152	1	1
OG0000153	1	1
OG0000154	1	1
OG0000155	1	1
OG0000156	1	1
OG0000157	1	1
OG0000158	1	1
OG0000159	1	1
OG0000160	2	2
OG0000161	1	1
OG0000162	1	1
