	data_Cint	model_Cint
Number of genes	5931	5533
Number of genes in orthogroups	5493	5402
Number of unassigned genes	438	131
Percentage of genes in orthogroups	92.6	97.6
Percentage of unassigned genes	7.4	2.4
Number of orthogroups containing species	5165	5161
Percentage of orthogroups containing species	100.0	99.9
Number of species-specific orthogroups	6	2
Number of genes in species-specific orthogroups	27	11
Percentage of genes in species-specific orthogroups	0.5	0.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	2	6
'1	4952	4993
'2	151	128
'3	36	26
'4	13	5
'5	5	4
'6	5	2
'7	2	2
'8	0	0
'9	0	1
'10	1	0
11-15	0	0
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.0	0.1
'1	95.8	96.6
'2	2.9	2.5
'3	0.7	0.5
'4	0.3	0.1
'5	0.1	0.1
'6	0.1	0.0
'7	0.0	0.0
'8	0.0	0.0
'9	0.0	0.0
'10	0.0	0.0
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	4952	4993
'2	302	256
'3	108	78
'4	52	20
'5	25	20
'6	30	12
'7	14	14
'8	0	0
'9	0	9
'10	10	0
11-15	0	0
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	83.5	90.2
'2	5.1	4.6
'3	1.8	1.4
'4	0.9	0.4
'5	0.4	0.4
'6	0.5	0.2
'7	0.2	0.3
'8	0.0	0.0
'9	0.0	0.2
'10	0.2	0.0
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
